# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000648112 0.000195313
18 0.875 0.0492632 0.0168945
19 0.925 0.510173 0.210156
20 0.975 1.38526 0.793164
21 1.025 1.89023 1.67236
22 1.075 1.9575 2.67383
23 1.125 1.81563 3.69111
24 1.175 1.5783 4.65576
25 1.225 1.36787 5.56445
26 1.275 1.20313 6.43027
27 1.325 1.0697 7.26162
28 1.375 0.97057 8.07393
29 1.425 0.881499 8.86631
30 1.475 0.857636 9.69229
31 1.525 0.837233 10.5542
32 1.575 0.805556 11.4388
33 1.625 0.795933 12.3691
34 1.675 0.822412 13.3905
35 1.725 0.858615 14.5215
36 1.775 0.893413 15.7675
37 1.825 0.939125 17.1521
38 1.875 0.97932 18.6761
39 1.925 1.03675 20.3767
40 1.975 1.0567 22.2012
41 2.025 1.08027 24.162
42 2.075 1.11681 26.2905
43 2.125 1.09737 28.484
44 2.175 1.08089 30.7474
45 2.225 1.06 33.0702
46 2.275 1.03915 35.4509
47 2.325 1.0071 37.8606
48 2.375 0.9971 40.3502
49 2.425 0.976967 42.8933
50 2.475 0.963213 45.505
22000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000648112 0.000195313
18 0.875 0.0509918 0.0174805
19 0.925 0.517134 0.213379
20 0.975 1.35393 0.783203
21 1.025 1.89926 1.6666
22 1.075 1.97735 2.67822
23 1.125 1.80639 3.69033
24 1.175 1.58932 4.66172
25 1.225 1.36184 5.56641
26 1.275 1.21874 6.44346
27 1.325 1.06605 7.27197
28 1.375 0.97302 8.08633
29 1.425 0.906052 8.90078
30 1.475 0.857738 9.72686
31 1.525 0.817502 10.5685
32 1.575 0.792127 11.4383
33 1.625 0.810553 12.3857
34 1.675 0.800945 13.3805
35 1.725 0.84831 14.4979
36 1.775 0.893413 15.7438
37 1.825 0.940714 17.1308
38 1.875 0.976684 18.6507
39 1.925 1.0402 20.3569
40 1.975 1.06094 22.1888
41 2.025 1.10362 24.192
42 2.075 1.10052 26.2895
43 2.125 1.09825 28.4847
44 2.175 1.08331 30.7531
45 2.225 1.05799 33.0716
46 2.275 1.04277 35.4605
47 2.325 1.01473 37.8886
48 2.375 0.993932 40.3702
49 2.425 0.978018 42.916
50 2.475 0.954749 45.5048
23000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0521441 0.0176758
19 0.925 0.52693 0.217285
20 0.975 1.33932 0.780957
21 1.025 1.90283 1.66602
22 1.075 1.99262 2.68545
23 1.125 1.81214 3.70078
24 1.175 1.58197 4.66768
25 1.225 1.3739 5.58037
26 1.275 1.20815 6.4498
27 1.325 1.07472 7.28506
28 1.375 0.958668 8.0874
29 1.425 0.899425 8.8959
30 1.475 0.834416 9.69951
