# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.000441516 0.000195313
19 0.925 0.120699 0.0598633
20 0.975 1.17868 0.707227
21 1.025 2.61375 2.29375
22 1.075 2.98537 4.28691
23 1.125 2.47539 6.09687
24 1.175 1.82822 7.55508
25 1.225 1.35829 8.73262
26 1.275 1.02104 9.6915
27 1.325 0.792635 10.4954
28 1.375 0.681501 11.2397
29 1.425 0.607215 11.9521
30 1.475 0.556493 12.6515
31 1.525 0.559565 13.4032
32 1.575 0.581507 14.2365
33 1.625 0.629052 15.1961
34 1.675 0.720101 16.3632
35 1.725 0.814802 17.7638
36 1.775 0.951498 19.4955
37 1.825 1.0692 21.5526
38 1.875 1.15648 23.9013
39 1.925 1.22365 26.5206
40 1.975 1.28825 29.4233
41 2.025 1.29872 32.4997
42 2.075 1.27631 35.6741
43 2.125 1.2316 38.8867
44 2.175 1.14171 42.0066
45 2.225 1.04918 45.007
46 2.275 0.946116 47.8356
47 2.325 0.894165 50.6277
48 2.375 0.837432 53.3563
49 2.425 0.810357 56.1091
50 2.475 0.813108 58.9862
22000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00110379 0.000488281
19 0.925 0.124452 0.0620117
20 0.975 1.14329 0.689941
21 1.025 2.66475 2.30742
22 1.075 3.00015 4.31045
23 1.125 2.44948 6.10146
24 1.175 1.82662 7.5584
25 1.225 1.33847 8.71875
26 1.275 1.02925 9.68535
27 1.325 0.79976 10.4965
28 1.375 0.669788 11.228
29 1.425 0.599473 11.9313
30 1.475 0.562476 12.6382
31 1.525 0.549025 13.3758
32 1.575 0.594592 14.2278
33 1.625 0.637183 15.1998
34 1.675 0.72697 16.378
35 1.725 0.816506 17.7815
36 1.775 0.956112 19.5217
37 1.825 1.05682 21.555
38 1.875 1.15484 23.9003
39 1.925 1.24386 26.5629
40 1.975 1.2762 29.4385
41 2.025 1.29848 32.5143
42 2.075 1.27082 35.675
43 2.125 1.21857 38.8536
44 2.175 1.14046 41.9701
45 2.225 1.04802 44.9672
46 2.275 0.951799 47.8128
47 2.325 0.889005 50.5888
48 2.375 0.845524 53.3438
49 2.425 0.813174 56.1061
50 2.475 0.816364 58.9947
23000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00176606 0.00078125
19 0.925 0.12702 0.0635742
20 0.975 1.15876 0.7
21 1.025 2.63402 2.29883
22 1.075 2.96431 4.27793
23 1.125 2.46404 6.07959
24 1.175 1.85209 7.55684
25 1.225 1.36674 8.7417
26 1.275 1.01397 9.69395
27 1.325 0.795042 10.5003
28 1.375 0.682217 11.2454
29 1.425 0.59248 11.9404
30 1.475 0.555794 12.639
